stock_item_key,stock_item,color,selling_package,buying_package,size_val,lead_time_days,quantity_per_outer,is_chiller_stock,tax_rate,unit_price,recommended_retail_price,typical_weight_per_unit,tk_stock_item,_version,date_from,date_to,recommended_retail_Price,typical_Weight_Per_Unit
32,3 kg Courier post bag (White) 300x190x95mm,Unknown,Each,Each,300x190x95mm,14,25,False,14.0,0.66,0.99,0.1,31,1,1900-01-01,2021-11-20,,
33,Express post box 5kg (White) 350x280x130mm,Unknown,Each,Each,350x280x130mm,14,25,False,14.0,0.95,1.42,0.2,32,1,1900-01-01,2021-11-20,,
34,Shipping carton (Brown) 457x457x457mm,Unknown,Each,Each,457x457x457mm,14,25,False,14.0,2.1,3.14,0.4,33,1,1900-01-01,2021-11-20,,
35,Shipping carton (Brown) 356x356x279mm,Unknown,Each,Each,356x356x279mm,14,25,False,14.0,2.04,3.05,0.3,34,1,1900-01-01,2021-11-20,,
36,Shipping carton (Brown) 305x305x305mm,Unknown,Each,Each,305x305x305mm,14,25,False,14.0,3.5,5.23,0.3,35,1,1900-01-01,2021-11-20,,
37,Shipping carton (Brown) 480x270x320mm,Unknown,Each,Each,480x270x320mm,14,25,False,14.0,2.74,4.1,0.4,36,1,1900-01-01,2021-11-20,,
38,Shipping carton (Brown) 457x279x279mm,Unknown,Each,Each,457x279x279mm,14,25,False,14.0,1.28,1.91,0.4,37,1,1900-01-01,2021-11-20,,
39,Shipping carton (Brown) 356x229x229mm,Unknown,Each,Each,356x229x229mm,14,25,False,14.0,1.14,1.7,0.4,38,1,1900-01-01,2021-11-20,,
40,Shipping carton (Brown) 279x254x217mm,Unknown,Each,Each,279x254x217mm,14,25,False,14.0,1.11,1.66,0.3,39,1,1900-01-01,2021-11-20,,
41,Shipping carton (Brown) 229x229x229mm,Unknown,Each,Each,229x229x229mm,14,25,False,14.0,1.05,1.57,0.3,40,1,1900-01-01,2021-11-20,,
42,Shipping carton (Brown) 500x310x310mm,Unknown,Each,Each,500x310x310mm,14,25,False,14.0,2.55,3.81,0.4,41,1,1900-01-01,2021-11-20,,
43,Shipping carton (Brown) 413x285x187mm,Unknown,Each,Each,413x285x187mm,14,25,False,14.0,1.05,1.57,0.3,42,1,1900-01-01,2021-11-20,,
44,Bubblewrap dispenser (Red) 1.5m,Red,Each,Each,1.5m,14,1,False,14.0,240.0,358.8,10.0,43,1,1900-01-01,2021-11-20,,
45,Bubblewrap dispenser (Blue) 1.5m,Blue,Each,Each,1.5m,14,1,False,14.0,240.0,358.8,10.0,44,1,1900-01-01,2021-11-20,,
46,Bubblewrap dispenser (Black) 1.5m,Black,Each,Each,1.5m,14,1,False,14.0,240.0,358.8,10.0,45,1,1900-01-01,2021-11-20,,
47,32 mm Anti static bubble wrap (Blue) 50m,Blue,Each,Each,50m,14,10,False,14.0,105.0,156.98,10.0,46,1,1900-01-01,2021-11-20,,
48,32 mm Anti static bubble wrap (Blue) 20m,Blue,Each,Each,20m,14,10,False,14.0,48.0,71.76,6.0,47,1,1900-01-01,2021-11-20,,
49,32 mm Anti static bubble wrap (Blue) 10m,Blue,Each,Each,10m,14,10,False,14.0,32.0,47.84,5.0,48,1,1900-01-01,2021-11-20,,
50,20 mm Anti static bubble wrap (Blue) 50m,Blue,Each,Each,50m,14,10,False,14.0,102.0,152.49,10.0,49,1,1900-01-01,2021-11-20,,
51,20 mm Anti static bubble wrap (Blue) 20m,Blue,Each,Each,20m,14,10,False,14.0,45.0,67.28,6.0,50,1,1900-01-01,2021-11-20,,
52,20 mm Anti static bubble wrap (Blue) 10m,Blue,Each,Each,10m,14,10,False,14.0,29.0,43.36,5.0,51,1,1900-01-01,2021-11-20,,
53,10 mm Anti static bubble wrap (Blue) 50m,Blue,Each,Each,50m,14,10,False,14.0,99.0,148.01,10.0,52,1,1900-01-01,2021-11-20,,
54,10 mm Anti static bubble wrap (Blue) 20m,Blue,Each,Each,20m,14,10,False,14.0,42.0,62.79,6.0,53,1,1900-01-01,2021-11-20,,
55,10 mm Anti static bubble wrap (Blue) 10m,Blue,Each,Each,10m,14,10,False,14.0,26.0,38.87,5.0,54,1,1900-01-01,2021-11-20,,
56,32 mm Double sided bubble wrap 50m,Unknown,Each,Each,50m,14,10,False,14.0,112.0,167.44,10.0,55,1,1900-01-01,2021-11-20,,
57,32 mm Double sided bubble wrap 20m,Unknown,Each,Each,20m,14,10,False,14.0,37.0,55.32,6.0,56,1,1900-01-01,2021-11-20,,
58,32 mm Double sided bubble wrap 10m,Unknown,Each,Each,10m,14,10,False,14.0,22.0,32.89,5.0,57,1,1900-01-01,2021-11-20,,
59,20 mm Double sided bubble wrap 50m,Unknown,Each,Each,50m,14,10,False,14.0,108.0,161.46,10.0,58,1,1900-01-01,2021-11-20,,
60,20 mm Double sided bubble wrap 20m,Unknown,Each,Each,20m,14,10,False,14.0,33.0,49.34,6.0,59,1,1900-01-01,2021-11-20,,
61,20 mm Double sided bubble wrap 10m,Unknown,Each,Each,10m,14,10,False,14.0,18.0,26.91,5.0,60,1,1900-01-01,2021-11-20,,
62,10 mm Double sided bubble wrap 50m,Unknown,Each,Each,50m,14,10,False,14.0,105.0,156.98,10.0,61,1,1900-01-01,2021-11-20,,
63,10 mm Double sided bubble wrap 20m,Unknown,Each,Each,20m,14,10,False,14.0,30.0,44.85,6.0,62,1,1900-01-01,2021-11-20,,
64,10 mm Double sided bubble wrap 10m,Unknown,Each,Each,10m,14,10,False,14.0,15.0,22.43,5.0,63,1,1900-01-01,2021-11-20,,
65,Large sized bubblewrap roll 50m,Unknown,Each,Each,50m,14,10,False,14.0,24.0,35.88,10.0,64,1,1900-01-01,2021-11-20,,
66,Medium sized bubblewrap roll 20m,Unknown,Each,Each,20m,14,10,False,14.0,20.0,29.9,6.0,65,1,1900-01-01,2021-11-20,,
67,Small sized bubblewrap roll 10m,Unknown,Each,Each,10m,14,10,False,14.0,4.5,6.73,5.0,66,1,1900-01-01,2021-11-20,,
68,Pack of 12 action figures (female),Unknown,Packet,Packet,Unknown,2,1,False,2.0,16.0,23.92,0.25,67,1,1900-01-01,2021-11-20,,
69,Pack of 12 action figures (male),Unknown,Packet,Packet,Unknown,2,1,False,2.0,16.0,23.92,0.25,68,1,1900-01-01,2021-11-20,,
70,Pack of 12 action figures (variety),Unknown,Packet,Packet,Unknown,2,1,False,2.0,16.0,23.92,0.25,69,1,1900-01-01,2021-11-20,,
71,Halloween skull mask (Gray) XL,Gray,Each,Carton,XL,12,12,False,12.0,18.0,26.91,0.3,70,1,1900-01-01,2021-11-20,,
72,Halloween skull mask (Gray) L,Gray,Each,Carton,L,12,12,False,12.0,18.0,26.91,0.3,71,1,1900-01-01,2021-11-20,,
73,Halloween skull mask (Gray) M,Gray,Each,Carton,M,12,12,False,12.0,18.0,26.91,0.3,72,1,1900-01-01,2021-11-20,,
74,Halloween skull mask (Gray) S,Gray,Each,Carton,S,12,12,False,12.0,18.0,26.91,0.3,73,1,1900-01-01,2021-11-20,,
75,Halloween zombie mask (Light Brown) XL,Light Brown,Each,Carton,XL,12,12,False,12.0,18.0,26.91,0.3,74,1,1900-01-01,2021-11-20,,
76,Halloween zombie mask (Light Brown) L,Light Brown,Each,Carton,L,12,12,False,12.0,18.0,26.91,0.3,75,1,1900-01-01,2021-11-20,,
77,Halloween zombie mask (Light Brown) M,Light Brown,Each,Carton,M,12,12,False,12.0,18.0,26.91,0.3,76,1,1900-01-01,2021-11-20,,
78,Halloween zombie mask (Light Brown) S,Light Brown,Each,Carton,S,12,12,False,12.0,18.0,26.91,0.3,77,1,1900-01-01,2021-11-20,,
79,Furry animal socks (Pink) XL,Unknown,Pair,Packet,XL,12,12,False,12.0,5.0,7.48,0.1,78,1,1900-01-01,2021-11-20,,
80,Furry animal socks (Pink) L,Unknown,Pair,Packet,L,12,12,False,12.0,5.0,7.48,0.1,79,1,1900-01-01,2021-11-20,,
81,Furry animal socks (Pink) M,Unknown,Pair,Packet,M,12,12,False,12.0,5.0,7.48,0.1,80,1,1900-01-01,2021-11-20,,
82,Furry animal socks (Pink) S,Unknown,Pair,Packet,S,12,12,False,12.0,5.0,7.48,0.1,81,1,1900-01-01,2021-11-20,,
83,Animal with big feet slippers (Brown) XL,Unknown,Each,Each,XL,12,1,False,12.0,32.0,47.84,0.4,82,1,1900-01-01,2021-11-20,,
84,Animal with big feet slippers (Brown) L,Unknown,Each,Each,L,12,1,False,12.0,32.0,47.84,0.35,83,1,1900-01-01,2021-11-20,,
85,Animal with big feet slippers (Brown) M,Unknown,Each,Each,M,12,1,False,12.0,32.0,47.84,0.35,84,1,1900-01-01,2021-11-20,,
86,Animal with big feet slippers (Brown) S,Unknown,Each,Each,S,12,1,False,12.0,32.0,47.84,0.35,85,1,1900-01-01,2021-11-20,,
87,Furry gorilla with big eyes slippers (Black) XL,Black,Each,Each,XL,12,1,False,12.0,32.0,47.84,0.4,86,1,1900-01-01,2021-11-20,,
88,Furry gorilla with big eyes slippers (Black) L,Black,Each,Each,L,12,1,False,12.0,32.0,47.84,0.35,87,1,1900-01-01,2021-11-20,,
89,Furry gorilla with big eyes slippers (Black) M,Black,Each,Each,M,12,1,False,12.0,32.0,47.84,0.35,88,1,1900-01-01,2021-11-20,,
90,Furry gorilla with big eyes slippers (Black) S,Black,Each,Each,S,12,1,False,12.0,32.0,47.84,0.35,89,1,1900-01-01,2021-11-20,,
91,Plush shark slippers (Gray) XL,Gray,Each,Each,XL,12,1,False,12.0,32.0,47.84,0.4,90,1,1900-01-01,2021-11-20,,
92,Plush shark slippers (Gray) L,Gray,Each,Each,L,12,1,False,12.0,32.0,47.84,0.35,91,1,1900-01-01,2021-11-20,,
93,Plush shark slippers (Gray) M,Gray,Each,Each,M,12,1,False,12.0,32.0,47.84,0.35,92,1,1900-01-01,2021-11-20,,
94,Plush shark slippers (Gray) S,Gray,Each,Each,S,12,1,False,12.0,32.0,47.84,0.35,93,1,1900-01-01,2021-11-20,,
95,Ogre battery-powered slippers (Green) XL,Unknown,Each,Each,XL,12,1,False,12.0,32.0,47.84,0.4,94,1,1900-01-01,2021-11-20,,
96,Ogre battery-powered slippers (Green) L,Unknown,Each,Each,L,12,1,False,12.0,32.0,47.84,0.35,95,1,1900-01-01,2021-11-20,,
97,Ogre battery-powered slippers (Green) M,Unknown,Each,Each,M,12,1,False,12.0,32.0,47.84,0.35,96,1,1900-01-01,2021-11-20,,
98,Ogre battery-powered slippers (Green) S,Unknown,Each,Each,S,12,1,False,12.0,32.0,47.84,0.35,97,1,1900-01-01,2021-11-20,,
99,Dinosaur battery-powered slippers (Green) XL,Unknown,Each,Each,XL,12,1,False,12.0,32.0,47.84,0.4,98,1,1900-01-01,2021-11-20,,
100,Dinosaur battery-powered slippers (Green) L,Unknown,Each,Each,L,12,1,False,12.0,32.0,47.84,0.35,99,1,1900-01-01,2021-11-20,,
101,Dinosaur battery-powered slippers (Green) M,Unknown,Each,Each,M,12,1,False,12.0,32.0,47.84,0.35,100,1,1900-01-01,2021-11-20,,
102,Dinosaur battery-powered slippers (Green) S,Unknown,Each,Each,S,12,1,False,12.0,32.0,47.84,0.35,101,1,1900-01-01,2021-11-20,,
103,Superhero action jacket (Blue) 5XL,Blue,Each,Each,5XL,12,1,False,12.0,34.0,50.83,0.4,102,1,1900-01-01,2021-11-20,,
104,Superhero action jacket (Blue) 4XL,Blue,Each,Each,4XL,12,1,False,12.0,34.0,50.83,0.4,103,1,1900-01-01,2021-11-20,,
105,Superhero action jacket (Blue) 3XL,Blue,Each,Each,3XL,12,1,False,12.0,34.0,50.83,0.4,104,1,1900-01-01,2021-11-20,,
106,Superhero action jacket (Blue) XXL,Blue,Each,Each,XXL,12,1,False,12.0,30.0,44.85,0.35,105,1,1900-01-01,2021-11-20,,
107,Superhero action jacket (Blue) XL,Blue,Each,Each,XL,12,1,False,12.0,30.0,44.85,0.35,106,1,1900-01-01,2021-11-20,,
108,Superhero action jacket (Blue) L,Blue,Each,Each,L,12,1,False,12.0,30.0,44.85,0.35,107,1,1900-01-01,2021-11-20,,
109,Superhero action jacket (Blue) M,Blue,Each,Each,M,12,1,False,12.0,30.0,44.85,0.35,108,1,1900-01-01,2021-11-20,,
110,Superhero action jacket (Blue) S,Blue,Each,Each,S,12,1,False,12.0,25.0,37.38,0.3,109,1,1900-01-01,2021-11-20,,
111,Superhero action jacket (Blue) XS,Blue,Each,Each,XS,12,1,False,12.0,25.0,37.38,0.3,110,1,1900-01-01,2021-11-20,,
112,Superhero action jacket (Blue) XXS,Blue,Each,Each,XXS,12,1,False,12.0,25.0,37.38,0.3,111,1,1900-01-01,2021-11-20,,
113,Superhero action jacket (Blue) 3XS,Blue,Each,Each,3XS,12,1,False,12.0,25.0,37.38,0.3,112,1,1900-01-01,2021-11-20,,
114,Alien officer hoodie (Black) 5XL,Black,Each,Each,5XL,12,1,False,12.0,35.0,52.33,0.4,113,1,1900-01-01,2021-11-20,,
115,Alien officer hoodie (Black) 4XL,Black,Each,Each,4XL,12,1,False,12.0,35.0,52.33,0.4,114,1,1900-01-01,2021-11-20,,
116,Alien officer hoodie (Black) 3XL,Black,Each,Each,3XL,12,1,False,12.0,35.0,52.33,0.4,115,1,1900-01-01,2021-11-20,,
117,Alien officer hoodie (Black) XXL,Black,Each,Each,XXL,12,1,False,12.0,35.0,52.33,0.4,116,1,1900-01-01,2021-11-20,,
118,Alien officer hoodie (Black) XL,Black,Each,Each,XL,12,1,False,12.0,35.0,52.33,0.4,117,1,1900-01-01,2021-11-20,,
119,The Gu red shirt XML tag t-shirt (Black) 7XL,Black,Each,Carton,7XL,7,12,False,7.0,18.0,26.91,0.45,118,1,1900-01-01,2021-11-20,,
120,The Gu red shirt XML tag t-shirt (Black) 6XL,Black,Each,Carton,6XL,7,12,False,7.0,18.0,26.91,0.4,119,1,1900-01-01,2021-11-20,,
121,The Gu red shirt XML tag t-shirt (Black) 5XL,Black,Each,Carton,5XL,7,12,False,7.0,18.0,26.91,0.4,120,1,1900-01-01,2021-11-20,,
122,The Gu red shirt XML tag t-shirt (Black) 4XL,Black,Each,Carton,4XL,7,12,False,7.0,18.0,26.91,0.4,121,1,1900-01-01,2021-11-20,,
123,The Gu red shirt XML tag t-shirt (Black) 3XL,Black,Each,Carton,3XL,7,12,False,7.0,18.0,26.91,0.4,122,1,1900-01-01,2021-11-20,,
124,The Gu red shirt XML tag t-shirt (Black) XXL,Black,Each,Carton,XXL,7,12,False,7.0,18.0,26.91,0.4,123,1,1900-01-01,2021-11-20,,
125,The Gu red shirt XML tag t-shirt (Black) XL,Black,Each,Carton,XL,7,12,False,7.0,18.0,26.91,0.35,124,1,1900-01-01,2021-11-20,,
126,The Gu red shirt XML tag t-shirt (Black) L,Black,Each,Carton,L,7,12,False,7.0,18.0,26.91,0.35,125,1,1900-01-01,2021-11-20,,
127,The Gu red shirt XML tag t-shirt (Black) M,Black,Each,Carton,M,7,12,False,7.0,18.0,26.91,0.35,126,1,1900-01-01,2021-11-20,,
128,The Gu red shirt XML tag t-shirt (Black) S,Black,Each,Carton,S,7,12,False,7.0,18.0,26.91,0.3,127,1,1900-01-01,2021-11-20,,
129,The Gu red shirt XML tag t-shirt (Black) XS,Black,Each,Carton,XS,7,12,False,7.0,18.0,26.91,0.25,128,1,1900-01-01,2021-11-20,,
130,The Gu red shirt XML tag t-shirt (Black) XXS,Black,Each,Carton,XXS,7,12,False,7.0,18.0,26.91,0.25,129,1,1900-01-01,2021-11-20,,
131,The Gu red shirt XML tag t-shirt (Black) 3XS,Black,Each,Carton,3XS,7,12,False,7.0,18.0,26.91,0.25,130,1,1900-01-01,2021-11-20,,
132,The Gu red shirt XML tag t-shirt (White) 7XL,White,Each,Carton,7XL,7,12,False,7.0,18.0,26.91,0.45,131,1,1900-01-01,2021-11-20,,
133,The Gu red shirt XML tag t-shirt (White) 6XL,White,Each,Carton,6XL,7,12,False,7.0,18.0,26.91,0.4,132,1,1900-01-01,2021-11-20,,
134,The Gu red shirt XML tag t-shirt (White) 5XL,White,Each,Carton,5XL,7,12,False,7.0,18.0,26.91,0.4,133,1,1900-01-01,2021-11-20,,
135,The Gu red shirt XML tag t-shirt (White) 4XL,White,Each,Carton,4XL,7,12,False,7.0,18.0,26.91,0.4,134,1,1900-01-01,2021-11-20,,
136,The Gu red shirt XML tag t-shirt (White) 3XL,White,Each,Carton,3XL,7,12,False,7.0,18.0,26.91,0.4,135,1,1900-01-01,2021-11-20,,
137,The Gu red shirt XML tag t-shirt (White) XXL,White,Each,Carton,XXL,7,12,False,7.0,18.0,26.91,0.4,136,1,1900-01-01,2021-11-20,,
138,The Gu red shirt XML tag t-shirt (White) XL,White,Each,Carton,XL,7,12,False,7.0,18.0,26.91,0.35,137,1,1900-01-01,2021-11-20,,
139,The Gu red shirt XML tag t-shirt (White) L,White,Each,Carton,L,7,12,False,7.0,18.0,26.91,0.35,138,1,1900-01-01,2021-11-20,,
140,The Gu red shirt XML tag t-shirt (White) M,White,Each,Carton,M,7,12,False,7.0,18.0,26.91,0.35,139,1,1900-01-01,2021-11-20,,
141,The Gu red shirt XML tag t-shirt (White) S,White,Each,Carton,S,7,12,False,7.0,18.0,26.91,0.3,140,1,1900-01-01,2021-11-20,,
142,The Gu red shirt XML tag t-shirt (White) XS,White,Each,Carton,XS,7,12,False,7.0,18.0,26.91,0.25,141,1,1900-01-01,2021-11-20,,
143,The Gu red shirt XML tag t-shirt (White) XXS,White,Each,Carton,XXS,7,12,False,7.0,18.0,26.91,0.25,142,1,1900-01-01,2021-11-20,,
144,The Gu red shirt XML tag t-shirt (White) 3XS,White,Each,Carton,3XS,7,12,False,7.0,18.0,26.91,0.25,143,1,1900-01-01,2021-11-20,,
145,Ride on big wheel monster truck (Black) 1/12 scale,Black,Each,Each,1/12 scale,14,1,False,14.0,345.0,515.78,21.0,144,1,1900-01-01,2021-11-20,,
146,Ride on vintage American toy coupe (Black) 1/12 scale,Black,Each,Each,1/12 scale,14,1,False,14.0,285.0,426.08,18.0,145,1,1900-01-01,2021-11-20,,
147,Ride on vintage American toy coupe (Red) 1/12 scale,Red,Each,Each,1/12 scale,14,1,False,14.0,285.0,426.08,18.0,146,1,1900-01-01,2021-11-20,,
148,Ride on toy sedan car (Pink) 1/12 scale,Unknown,Each,Each,1/12 scale,14,1,False,14.0,230.0,343.85,15.0,147,1,1900-01-01,2021-11-20,,
149,Ride on toy sedan car (Yellow) 1/12 scale,Yellow,Each,Each,1/12 scale,14,1,False,14.0,230.0,343.85,15.0,148,1,1900-01-01,2021-11-20,,
150,Ride on toy sedan car (Green) 1/12 scale,Unknown,Each,Each,1/12 scale,14,1,False,14.0,230.0,343.85,15.0,149,1,1900-01-01,2021-11-20,,
151,Ride on toy sedan car (Blue) 1/12 scale,Blue,Each,Each,1/12 scale,14,1,False,14.0,230.0,343.85,15.0,150,1,1900-01-01,2021-11-20,,
152,Ride on toy sedan car (Red) 1/12 scale,Red,Each,Each,1/12 scale,14,1,False,14.0,230.0,343.85,15.0,151,1,1900-01-01,2021-11-20,,
153,Ride on toy sedan car (Black) 1/12 scale,Black,Each,Each,1/12 scale,14,1,False,14.0,230.0,343.85,15.0,152,1,1900-01-01,2021-11-20,,
154,RC big wheel monster truck with remote control (Black) 1/50 scale,Black,Each,Each,1/50 scale,14,1,False,14.0,45.0,67.28,1.8,153,1,1900-01-01,2021-11-20,,
155,RC vintage American toy coupe with remote control (Black) 1/50 scale,Black,Each,Each,1/50 scale,14,1,False,14.0,30.0,44.85,1.7,154,1,1900-01-01,2021-11-20,,
156,RC vintage American toy coupe with remote control (Red) 1/50 scale,Red,Each,Each,1/50 scale,14,1,False,14.0,30.0,44.85,1.7,155,1,1900-01-01,2021-11-20,,
157,RC toy sedan car with remote control (Pink) 1/50 scale,Unknown,Each,Each,1/50 scale,14,1,False,14.0,25.0,37.38,1.5,156,1,1900-01-01,2021-11-20,,
158,RC toy sedan car with remote control (Yellow) 1/50 scale,Yellow,Each,Each,1/50 scale,14,1,False,14.0,25.0,37.38,1.5,157,1,1900-01-01,2021-11-20,,
159,RC toy sedan car with remote control (Green) 1/50 scale,Unknown,Each,Each,1/50 scale,14,1,False,14.0,25.0,37.38,1.5,158,1,1900-01-01,2021-11-20,,
160,RC toy sedan car with remote control (Blue) 1/50 scale,Blue,Each,Each,1/50 scale,14,1,False,14.0,25.0,37.38,1.5,159,1,1900-01-01,2021-11-20,,
161,RC toy sedan car with remote control (Red) 1/50 scale,Red,Each,Each,1/50 scale,14,1,False,14.0,25.0,37.38,1.5,160,1,1900-01-01,2021-11-20,,
162,RC toy sedan car with remote control (Black) 1/50 scale,Black,Each,Each,1/50 scale,14,1,False,14.0,25.0,37.38,1.5,161,1,1900-01-01,2021-11-20,,
163,IT joke mug - hardware: part of the computer that can be kicked (Black),Black,Each,Each,Unknown,12,1,False,12.0,13.0,19.44,0.15,162,1,1900-01-01,2021-11-20,,
164,IT joke mug - hardware: part of the computer that can be kicked (White),White,Each,Each,Unknown,12,1,False,12.0,13.0,19.44,0.15,163,1,1900-01-01,2021-11-20,,
165,IT joke mug - that behavior is by design (Black),Black,Each,Each,Unknown,12,1,False,12.0,13.0,19.44,0.15,164,1,1900-01-01,2021-11-20,,
166,IT joke mug - that behavior is by design (White),White,Each,Each,Unknown,12,1,False,12.0,13.0,19.44,0.15,165,1,1900-01-01,2021-11-20,,
167,IT joke mug - keyboard not found � press F1 to continue (Black),Black,Each,Each,Unknown,12,1,False,12.0,13.0,19.44,0.15,166,1,1900-01-01,2021-11-20,,
168,IT joke mug - keyboard not found � press F1 to continue (White),White,Each,Each,Unknown,12,1,False,12.0,13.0,19.44,0.15,167,1,1900-01-01,2021-11-20,,
169,Developer joke mug - old C developers never die (Black),Black,Each,Each,Unknown,12,1,False,12.0,13.0,19.44,0.15,168,1,1900-01-01,2021-11-20,,
170,Developer joke mug - old C developers never die (White),White,Each,Each,Unknown,12,1,False,12.0,13.0,19.44,0.15,169,1,1900-01-01,2021-11-20,,
171,Developer joke mug - this code was generated by a tool (Black),Black,Each,Each,Unknown,12,1,False,12.0,13.0,19.44,0.15,170,1,1900-01-01,2021-11-20,,
172,Developer joke mug - this code was generated by a tool (White),White,Each,Each,Unknown,12,1,False,12.0,13.0,19.44,0.15,171,1,1900-01-01,2021-11-20,,
173,Developer joke mug - a foo walks into a bar (Black),Black,Each,Each,Unknown,12,1,False,12.0,13.0,19.44,0.15,172,1,1900-01-01,2021-11-20,,
174,Developer joke mug - a foo walks into a bar (White),White,Each,Each,Unknown,12,1,False,12.0,13.0,19.44,0.15,173,1,1900-01-01,2021-11-20,,
