Stock_Item,Color,Selling_Package,Buying_Package,Size_val,Lead_Time_Days,Quantity_Per_Outer,Is_Chiller_Stock,Tax_Rate,Unit_Price,Recommended_Retail_Price,Typical_Weight_Per_Unit,tk_stock_item,_version,date_from,date_to
Black and orange glass with care despatch tape  48mmx100m,Unknown,Each,Each,48mmx100m,14,24,False,14.0,4.1,6.13,0.7,25,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.815936
Black and orange glass with care despatch tape 48mmx75m,Unknown,Each,Each,48mmx75m,14,24,False,14.0,3.7,5.53,0.5,26,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.817610
Black and orange fragile despatch tape 48mmx100m,Unknown,Each,Each,48mmx100m,14,36,False,14.0,4.1,6.13,0.7,27,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.819099
Black and orange fragile despatch tape 48mmx75m,Unknown,Each,Each,48mmx75m,14,36,False,14.0,3.7,5.53,0.5,28,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.820602
Clear packaging tape 48mmx100m,Unknown,Each,Each,48mmx100m,14,20,False,14.0,3.5,5.23,0.7,29,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.822092
Clear packaging tape 48mmx75m,Unknown,Each,Each,48mmx75m,14,26,False,14.0,2.9,4.34,0.5,30,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.823618
3 kg Courier post bag (White) 300x190x95mm,Unknown,Each,Each,300x190x95mm,14,25,False,14.0,0.66,0.99,0.1,31,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.825123
Express post box 5kg (White) 350x280x130mm,Unknown,Each,Each,350x280x130mm,14,25,False,14.0,0.95,1.42,0.2,32,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.826611
Shipping carton (Brown) 457x457x457mm,Unknown,Each,Each,457x457x457mm,14,25,False,14.0,2.1,3.14,0.4,33,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.828130
Shipping carton (Brown) 356x356x279mm,Unknown,Each,Each,356x356x279mm,14,25,False,14.0,2.04,3.05,0.3,34,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.829620
Shipping carton (Brown) 305x305x305mm,Unknown,Each,Each,305x305x305mm,14,25,False,14.0,3.5,5.23,0.3,35,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.831264
Shipping carton (Brown) 480x270x320mm,Unknown,Each,Each,480x270x320mm,14,25,False,14.0,2.74,4.1,0.4,36,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.832766
Shipping carton (Brown) 457x279x279mm,Unknown,Each,Each,457x279x279mm,14,25,False,14.0,1.28,1.91,0.4,37,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.834243
Shipping carton (Brown) 356x229x229mm,Unknown,Each,Each,356x229x229mm,14,25,False,14.0,1.14,1.7,0.4,38,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.835819
Shipping carton (Brown) 279x254x217mm,Unknown,Each,Each,279x254x217mm,14,25,False,14.0,1.11,1.66,0.3,39,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.837308
Shipping carton (Brown) 229x229x229mm,Unknown,Each,Each,229x229x229mm,14,25,False,14.0,1.05,1.57,0.3,40,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.838830
Shipping carton (Brown) 500x310x310mm,Unknown,Each,Each,500x310x310mm,14,25,False,14.0,2.55,3.81,0.4,41,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.840399
Shipping carton (Brown) 413x285x187mm,Unknown,Each,Each,413x285x187mm,14,25,False,14.0,1.05,1.57,0.3,42,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.841905
Bubblewrap dispenser (Red) 1.5m,Red,Each,Each,1.5m,14,1,False,14.0,240.0,358.8,10.0,43,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.843459
Bubblewrap dispenser (Blue) 1.5m,Blue,Each,Each,1.5m,14,1,False,14.0,240.0,358.8,10.0,44,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.844985
Bubblewrap dispenser (Black) 1.5m,Black,Each,Each,1.5m,14,1,False,14.0,240.0,358.8,10.0,45,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.846509
32 mm Anti static bubble wrap (Blue) 50m,Blue,Each,Each,50m,14,10,False,14.0,105.0,156.98,10.0,46,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.848033
32 mm Anti static bubble wrap (Blue) 20m,Blue,Each,Each,20m,14,10,False,14.0,48.0,71.76,6.0,47,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.849547
32 mm Anti static bubble wrap (Blue) 10m,Blue,Each,Each,10m,14,10,False,14.0,32.0,47.84,5.0,48,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.851044
20 mm Anti static bubble wrap (Blue) 50m,Blue,Each,Each,50m,14,10,False,14.0,102.0,152.49,10.0,49,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.852553
20 mm Anti static bubble wrap (Blue) 20m,Blue,Each,Each,20m,14,10,False,14.0,45.0,67.28,6.0,50,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.854049
20 mm Anti static bubble wrap (Blue) 10m,Blue,Each,Each,10m,14,10,False,14.0,29.0,43.36,5.0,51,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.855566
10 mm Anti static bubble wrap (Blue) 50m,Blue,Each,Each,50m,14,10,False,14.0,99.0,148.01,10.0,52,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.857065
10 mm Anti static bubble wrap (Blue) 20m,Blue,Each,Each,20m,14,10,False,14.0,42.0,62.79,6.0,53,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.858555
10 mm Anti static bubble wrap (Blue) 10m,Blue,Each,Each,10m,14,10,False,14.0,26.0,38.87,5.0,54,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.860027
32 mm Double sided bubble wrap 50m,Unknown,Each,Each,50m,14,10,False,14.0,112.0,167.44,10.0,55,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.862205
32 mm Double sided bubble wrap 20m,Unknown,Each,Each,20m,14,10,False,14.0,37.0,55.32,6.0,56,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.864005
32 mm Double sided bubble wrap 10m,Unknown,Each,Each,10m,14,10,False,14.0,22.0,32.89,5.0,57,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.865760
20 mm Double sided bubble wrap 50m,Unknown,Each,Each,50m,14,10,False,14.0,108.0,161.46,10.0,58,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.867388
20 mm Double sided bubble wrap 20m,Unknown,Each,Each,20m,14,10,False,14.0,33.0,49.34,6.0,59,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.868969
20 mm Double sided bubble wrap 10m,Unknown,Each,Each,10m,14,10,False,14.0,18.0,26.91,5.0,60,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.870523
10 mm Double sided bubble wrap 50m,Unknown,Each,Each,50m,14,10,False,14.0,105.0,156.98,10.0,61,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.872007
10 mm Double sided bubble wrap 20m,Unknown,Each,Each,20m,14,10,False,14.0,30.0,44.85,6.0,62,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.873492
10 mm Double sided bubble wrap 10m,Unknown,Each,Each,10m,14,10,False,14.0,15.0,22.43,5.0,63,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.874920
Large sized bubblewrap roll 50m,Unknown,Each,Each,50m,14,10,False,14.0,24.0,35.88,10.0,64,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.876403
Medium sized bubblewrap roll 20m,Unknown,Each,Each,20m,14,10,False,14.0,20.0,29.9,6.0,65,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.877871
Small sized bubblewrap roll 10m,Unknown,Each,Each,10m,14,10,False,14.0,4.5,6.73,5.0,66,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.879326
Pack of 12 action figures (female),Unknown,Packet,Packet,Unknown,2,1,False,2.0,16.0,23.92,0.25,67,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.880846
Pack of 12 action figures (male),Unknown,Packet,Packet,Unknown,2,1,False,2.0,16.0,23.92,0.25,68,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.882385
Pack of 12 action figures (variety),Unknown,Packet,Packet,Unknown,2,1,False,2.0,16.0,23.92,0.25,69,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.883883
Halloween skull mask (Gray) XL,Gray,Each,Carton,XL,12,12,False,12.0,18.0,26.91,0.3,70,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.885452
Halloween skull mask (Gray) L,Gray,Each,Carton,L,12,12,False,12.0,18.0,26.91,0.3,71,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.886949
Halloween skull mask (Gray) M,Gray,Each,Carton,M,12,12,False,12.0,18.0,26.91,0.3,72,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.888463
Halloween skull mask (Gray) S,Gray,Each,Carton,S,12,12,False,12.0,18.0,26.91,0.3,73,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.890136
Halloween zombie mask (Light Brown) XL,Light Brown,Each,Carton,XL,12,12,False,12.0,18.0,26.91,0.3,74,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.892110
Halloween zombie mask (Light Brown) L,Light Brown,Each,Carton,L,12,12,False,12.0,18.0,26.91,0.3,75,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.893660
Halloween zombie mask (Light Brown) M,Light Brown,Each,Carton,M,12,12,False,12.0,18.0,26.91,0.3,76,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.895159
Halloween zombie mask (Light Brown) S,Light Brown,Each,Carton,S,12,12,False,12.0,18.0,26.91,0.3,77,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.896661
Furry animal socks (Pink) XL,Unknown,Pair,Packet,XL,12,12,False,12.0,5.0,7.48,0.1,78,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.898160
Furry animal socks (Pink) L,Unknown,Pair,Packet,L,12,12,False,12.0,5.0,7.48,0.1,79,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.899814
Furry animal socks (Pink) M,Unknown,Pair,Packet,M,12,12,False,12.0,5.0,7.48,0.1,80,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.901308
Furry animal socks (Pink) S,Unknown,Pair,Packet,S,12,12,False,12.0,5.0,7.48,0.1,81,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.902860
Animal with big feet slippers (Brown) XL,Unknown,Each,Each,XL,12,1,False,12.0,32.0,47.84,0.4,82,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.904362
Animal with big feet slippers (Brown) L,Unknown,Each,Each,L,12,1,False,12.0,32.0,47.84,0.35,83,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.905955
Animal with big feet slippers (Brown) M,Unknown,Each,Each,M,12,1,False,12.0,32.0,47.84,0.35,84,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.907818
Animal with big feet slippers (Brown) S,Unknown,Each,Each,S,12,1,False,12.0,32.0,47.84,0.35,85,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.909697
Furry gorilla with big eyes slippers (Black) XL,Black,Each,Each,XL,12,1,False,12.0,32.0,47.84,0.4,86,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.911617
Furry gorilla with big eyes slippers (Black) L,Black,Each,Each,L,12,1,False,12.0,32.0,47.84,0.35,87,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.913543
Furry gorilla with big eyes slippers (Black) M,Black,Each,Each,M,12,1,False,12.0,32.0,47.84,0.35,88,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.915436
Furry gorilla with big eyes slippers (Black) S,Black,Each,Each,S,12,1,False,12.0,32.0,47.84,0.35,89,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.917298
Plush shark slippers (Gray) XL,Gray,Each,Each,XL,12,1,False,12.0,32.0,47.84,0.4,90,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.919192
Plush shark slippers (Gray) L,Gray,Each,Each,L,12,1,False,12.0,32.0,47.84,0.35,91,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.921086
Plush shark slippers (Gray) M,Gray,Each,Each,M,12,1,False,12.0,32.0,47.84,0.35,92,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.922969
Plush shark slippers (Gray) S,Gray,Each,Each,S,12,1,False,12.0,32.0,47.84,0.35,93,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.924826
Ogre battery-powered slippers (Green) XL,Unknown,Each,Each,XL,12,1,False,12.0,32.0,47.84,0.4,94,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.926668
Ogre battery-powered slippers (Green) L,Unknown,Each,Each,L,12,1,False,12.0,32.0,47.84,0.35,95,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.928532
Ogre battery-powered slippers (Green) M,Unknown,Each,Each,M,12,1,False,12.0,32.0,47.84,0.35,96,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.930368
Ogre battery-powered slippers (Green) S,Unknown,Each,Each,S,12,1,False,12.0,32.0,47.84,0.35,97,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.932187
Dinosaur battery-powered slippers (Green) XL,Unknown,Each,Each,XL,12,1,False,12.0,32.0,47.84,0.4,98,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.934782
Dinosaur battery-powered slippers (Green) L,Unknown,Each,Each,L,12,1,False,12.0,32.0,47.84,0.35,99,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.938234
Dinosaur battery-powered slippers (Green) M,Unknown,Each,Each,M,12,1,False,12.0,32.0,47.84,0.35,100,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.940275
Dinosaur battery-powered slippers (Green) S,Unknown,Each,Each,S,12,1,False,12.0,32.0,47.84,0.35,101,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.942282
Superhero action jacket (Blue) 5XL,Blue,Each,Each,5XL,12,1,False,12.0,34.0,50.83,0.4,102,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.944330
Superhero action jacket (Blue) 4XL,Blue,Each,Each,4XL,12,1,False,12.0,34.0,50.83,0.4,103,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.946312
Superhero action jacket (Blue) 3XL,Blue,Each,Each,3XL,12,1,False,12.0,34.0,50.83,0.4,104,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.948295
Superhero action jacket (Blue) XXL,Blue,Each,Each,XXL,12,1,False,12.0,30.0,44.85,0.35,105,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.950200
Superhero action jacket (Blue) XL,Blue,Each,Each,XL,12,1,False,12.0,30.0,44.85,0.35,106,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.952173
Superhero action jacket (Blue) L,Blue,Each,Each,L,12,1,False,12.0,30.0,44.85,0.35,107,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.954100
Superhero action jacket (Blue) M,Blue,Each,Each,M,12,1,False,12.0,30.0,44.85,0.35,108,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.956141
Superhero action jacket (Blue) S,Blue,Each,Each,S,12,1,False,12.0,25.0,37.38,0.3,109,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.958091
Superhero action jacket (Blue) XS,Blue,Each,Each,XS,12,1,False,12.0,25.0,37.38,0.3,110,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.960018
Superhero action jacket (Blue) XXS,Blue,Each,Each,XXS,12,1,False,12.0,25.0,37.38,0.3,111,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.961906
Superhero action jacket (Blue) 3XS,Blue,Each,Each,3XS,12,1,False,12.0,25.0,37.38,0.3,112,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.963534
Alien officer hoodie (Black) 5XL,Black,Each,Each,5XL,12,1,False,12.0,35.0,52.33,0.4,113,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.965162
Alien officer hoodie (Black) 4XL,Black,Each,Each,4XL,12,1,False,12.0,35.0,52.33,0.4,114,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.966738
Alien officer hoodie (Black) 3XL,Black,Each,Each,3XL,12,1,False,12.0,35.0,52.33,0.4,115,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.968419
Alien officer hoodie (Black) XXL,Black,Each,Each,XXL,12,1,False,12.0,35.0,52.33,0.4,116,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.969978
Alien officer hoodie (Black) XL,Black,Each,Each,XL,12,1,False,12.0,35.0,52.33,0.4,117,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.971603
The Gu red shirt XML tag t-shirt (Black) 7XL,Black,Each,Carton,7XL,7,12,False,7.0,18.0,26.91,0.45,118,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.973171
The Gu red shirt XML tag t-shirt (Black) 6XL,Black,Each,Carton,6XL,7,12,False,7.0,18.0,26.91,0.4,119,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.974751
The Gu red shirt XML tag t-shirt (Black) 5XL,Black,Each,Carton,5XL,7,12,False,7.0,18.0,26.91,0.4,120,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.976372
The Gu red shirt XML tag t-shirt (Black) 4XL,Black,Each,Carton,4XL,7,12,False,7.0,18.0,26.91,0.4,121,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.977994
The Gu red shirt XML tag t-shirt (Black) 3XL,Black,Each,Carton,3XL,7,12,False,7.0,18.0,26.91,0.4,122,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.979611
The Gu red shirt XML tag t-shirt (Black) XXL,Black,Each,Carton,XXL,7,12,False,7.0,18.0,26.91,0.4,123,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.981190
The Gu red shirt XML tag t-shirt (Black) XL,Black,Each,Carton,XL,7,12,False,7.0,18.0,26.91,0.35,124,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.982806
The Gu red shirt XML tag t-shirt (Black) L,Black,Each,Carton,L,7,12,False,7.0,18.0,26.91,0.35,125,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.984379
The Gu red shirt XML tag t-shirt (Black) M,Black,Each,Carton,M,7,12,False,7.0,18.0,26.91,0.35,126,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.985986
The Gu red shirt XML tag t-shirt (Black) S,Black,Each,Carton,S,7,12,False,7.0,18.0,26.91,0.3,127,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.987603
The Gu red shirt XML tag t-shirt (Black) XS,Black,Each,Carton,XS,7,12,False,7.0,18.0,26.91,0.25,128,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.989160
The Gu red shirt XML tag t-shirt (Black) XXS,Black,Each,Carton,XXS,7,12,False,7.0,18.0,26.91,0.25,129,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.990793
The Gu red shirt XML tag t-shirt (Black) 3XS,Black,Each,Carton,3XS,7,12,False,7.0,18.0,26.91,0.25,130,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.992395
The Gu red shirt XML tag t-shirt (White) 7XL,White,Each,Carton,7XL,7,12,False,7.0,18.0,26.91,0.45,131,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.994009
The Gu red shirt XML tag t-shirt (White) 6XL,White,Each,Carton,6XL,7,12,False,7.0,18.0,26.91,0.4,132,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.995586
The Gu red shirt XML tag t-shirt (White) 5XL,White,Each,Carton,5XL,7,12,False,7.0,18.0,26.91,0.4,133,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.997209
The Gu red shirt XML tag t-shirt (White) 4XL,White,Each,Carton,4XL,7,12,False,7.0,18.0,26.91,0.4,134,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:05.998868
The Gu red shirt XML tag t-shirt (White) 3XL,White,Each,Carton,3XL,7,12,False,7.0,18.0,26.91,0.4,135,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:06.000529
The Gu red shirt XML tag t-shirt (White) XXL,White,Each,Carton,XXL,7,12,False,7.0,18.0,26.91,0.4,136,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:06.002194
The Gu red shirt XML tag t-shirt (White) XL,White,Each,Carton,XL,7,12,False,7.0,18.0,26.91,0.35,137,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:06.003846
The Gu red shirt XML tag t-shirt (White) L,White,Each,Carton,L,7,12,False,7.0,18.0,26.91,0.35,138,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:06.005448
The Gu red shirt XML tag t-shirt (White) M,White,Each,Carton,M,7,12,False,7.0,18.0,26.91,0.35,139,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:06.007241
The Gu red shirt XML tag t-shirt (White) S,White,Each,Carton,S,7,12,False,7.0,18.0,26.91,0.3,140,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:06.008995
The Gu red shirt XML tag t-shirt (White) XS,White,Each,Carton,XS,7,12,False,7.0,18.0,26.91,0.25,141,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:06.010621
The Gu red shirt XML tag t-shirt (White) XXS,White,Each,Carton,XXS,7,12,False,7.0,18.0,26.91,0.25,142,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:06.012201
The Gu red shirt XML tag t-shirt (White) 3XS,White,Each,Carton,3XS,7,12,False,7.0,18.0,26.91,0.25,143,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:06.013864
Ride on big wheel monster truck (Black) 1/12 scale,Black,Each,Each,1/12 scale,14,1,False,14.0,345.0,515.78,21.0,144,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:06.015481
Ride on vintage American toy coupe (Black) 1/12 scale,Black,Each,Each,1/12 scale,14,1,False,14.0,285.0,426.08,18.0,145,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:06.017082
Ride on vintage American toy coupe (Red) 1/12 scale,Red,Each,Each,1/12 scale,14,1,False,14.0,285.0,426.08,18.0,146,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:06.018763
Ride on toy sedan car (Pink) 1/12 scale,Unknown,Each,Each,1/12 scale,14,1,False,14.0,230.0,343.85,15.0,147,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:06.020325
Ride on toy sedan car (Yellow) 1/12 scale,Yellow,Each,Each,1/12 scale,14,1,False,14.0,230.0,343.85,15.0,148,1,1900-01-01 00:00:00.000000,2021-11-21 02:28:06.021968
